,Mean Aligned,Mean,Median,Standard Deviation,Min,Max,25%,50%,75%
h36m_sub11_Posing_cam54138969,46.75366973876953,78.9494857788086,62.616092681884766,56.25145721435547,4.570296764373779,413.55859375,37.33118438720703,62.616092681884766,102.2667236328125
h36m_sub11_Discussion 1_cam54138969,48.89398956298828,76.09329986572266,56.69220733642578,59.281856536865234,2.0597352981567383,387.1113586425781,33.1591682434082,56.69220733642578,101.63980102539062
h36m_sub11_Posing 1_cam54138969,49.09388732910156,74.394287109375,62.187530517578125,48.3589973449707,6.762460231781006,332.87579345703125,38.60137939453125,62.187530517578125,95.0768814086914
h36m_sub11_Posing 1_cam55011271,49.59881591796875,80.74453735351562,65.96925354003906,69.13465118408203,7.588771343231201,1272.4310302734375,42.60398483276367,65.96925354003906,98.02224731445312
h36m_sub11_Posing 1_cam58860488,50.77226257324219,97.42755126953125,77.48374938964844,63.957515716552734,3.0032966136932373,378.6542053222656,51.031063079833984,77.48374938964844,129.4197998046875
h36m_sub11_Posing_cam58860488,52.41040802001953,100.01993560791016,77.91163635253906,64.3095932006836,5.357182502746582,450.20086669921875,53.07603073120117,77.91163635253906,128.6731414794922
h36m_sub11_Purchases_cam54138969,52.42641830444336,78.40293884277344,61.68190002441406,60.031105041503906,5.281938552856445,558.6658325195312,34.95722579956055,61.68190002441406,104.68446350097656
h36m_sub11_Discussion 1_cam55011271,52.855472564697266,77.06715393066406,58.6455192565918,72.16763305664062,4.688640594482422,1269.1982421875,34.40167236328125,58.6455192565918,95.01557922363281
h36m_sub11_Posing 1_cam60457274,53.47895431518555,84.04188537597656,75.81364440917969,57.447269439697266,5.010081768035889,746.4480590820312,45.71143341064453,75.81364440917969,106.75273132324219
h36m_sub9_Walking_cam54138969,53.58594512939453,82.39368438720703,63.245262145996094,67.74122619628906,2.7929608821868896,673.632080078125,41.38374710083008,63.245262145996094,98.59835052490234
h36m_sub11_Purchases 1_cam54138969,53.75550842285156,82.37870788574219,65.67207336425781,63.7411003112793,3.073765993118286,679.5065307617188,37.41818618774414,65.67207336425781,108.96238708496094
h36m_sub11_Walking 1_cam60457274,53.88901901245117,80.98135375976562,69.33134460449219,56.21902084350586,6.271585941314697,578.3558349609375,45.20467758178711,69.33134460449219,101.68757629394531
h36m_sub11_Discussion 1_cam58860488,54.07905960083008,93.08710479736328,74.18350219726562,63.992759704589844,3.7135660648345947,475.36724853515625,47.56583023071289,74.18350219726562,122.2721176147461
h36m_sub11_Posing_cam55011271,54.70118713378906,92.33934783935547,70.51258087158203,95.88578033447266,6.66494083404541,1287.4444580078125,42.26202392578125,70.51258087158203,108.26841735839844
h36m_sub11_Directions 1_cam58860488,55.064430236816406,92.0762939453125,74.17822265625,55.95695495605469,6.60676383972168,451.7725830078125,52.987159729003906,74.17822265625,115.1695556640625
TC_S2_walking2_cam4,55.18708038330078,90.65097045898438,72.04729461669922,60.0308837890625,4.135847568511963,810.1456909179688,52.37165069580078,72.04729461669922,112.74177551269531
h36m_sub11_Walking_cam60457274,55.252681732177734,84.74300384521484,70.56878662109375,61.0179557800293,6.381311416625977,571.098388671875,45.009586334228516,70.56878662109375,104.87928771972656
h36m_sub11_Posing_cam60457274,55.563446044921875,86.77008056640625,76.47106170654297,66.77140808105469,6.919360160827637,902.9288940429688,45.375343322753906,76.47106170654297,112.42902374267578
h36m_sub9_Walking_cam58860488,55.77008819580078,78.57898712158203,64.57420349121094,54.3546257019043,5.11336088180542,506.9536437988281,40.63771438598633,64.57420349121094,100.72200012207031
h36m_sub11_Walking 1_cam54138969,56.465023040771484,82.25588989257812,63.41997528076172,73.36063385009766,6.934206962585449,817.0224609375,39.47611618041992,63.41997528076172,98.50414276123047
h36m_sub9_Eating_cam55011271,56.75398254394531,99.18392944335938,85.61662292480469,92.4910659790039,5.722474575042725,1335.6275634765625,56.547428131103516,85.61662292480469,122.47927856445312
h36m_sub11_Waiting_cam54138969,56.77149963378906,83.15715026855469,66.52818298339844,61.798011779785156,1.797690987586975,559.0390014648438,38.63311767578125,66.52818298339844,109.56381225585938
