,Mean Aligned,Mean,Median,Standard Deviation,Min,Max,25%,50%,75%
h36m_sub11_Purchases_cam55011271,56.44822311401367,97.90998840332031,71.73674774169922,117.3485336303711,7.819595813751221,1546.467041015625,47.8568229675293,71.73674774169922,108.00787353515625
h36m_sub11_Posing_cam54138969,56.92536544799805,82.6680908203125,67.39962005615234,55.58174514770508,7.903947830200195,451.45135498046875,45.58371353149414,67.39962005615234,103.45710754394531
h36m_sub11_Posing_cam55011271,58.05584716796875,98.09700775146484,71.81291961669922,92.61621856689453,2.9694671630859375,1285.2357177734375,46.629234313964844,71.81291961669922,121.56134033203125
h36m_sub11_Discussion 1_cam54138969,58.47917556762695,79.89236450195312,66.89593505859375,52.82693862915039,8.52650260925293,351.3550109863281,42.84284973144531,66.89593505859375,103.03190612792969
h36m_sub11_Purchases 1_cam54138969,59.30006408691406,83.65679931640625,70.57571411132812,54.172706604003906,7.154667854309082,580.8671875,48.57845687866211,70.57571411132812,107.7078857421875
h36m_sub11_Purchases 1_cam55011271,60.28015899658203,107.72220611572266,73.26758575439453,122.55705261230469,3.536930799484253,1552.1336669921875,47.32445526123047,73.26758575439453,126.40691375732422
h36m_sub11_Posing 1_cam55011271,60.32069396972656,112.61885070800781,73.12042236328125,144.98277282714844,5.898538589477539,1371.04443359375,45.36494064331055,73.12042236328125,120.45906829833984
h36m_sub11_Discussion 1_cam55011271,60.669395446777344,89.30119323730469,72.47136688232422,71.836669921875,1.900269627571106,1340.8260498046875,45.13359069824219,72.47136688232422,115.0100326538086
h36m_sub11_Posing_cam60457274,60.72697830200195,87.99447631835938,75.71631622314453,57.15247344970703,7.223060131072998,602.771728515625,52.091026306152344,75.71631622314453,109.41989135742188
h36m_sub11_Purchases 1_cam58860488,60.85676574707031,98.40792846679688,83.32612609863281,65.67064666748047,6.970632553100586,865.08642578125,57.81378173828125,83.32612609863281,115.48411560058594
h36m_sub11_Purchases_cam54138969,61.01203918457031,80.33783721923828,68.66748046875,49.565696716308594,3.3921306133270264,380.38690185546875,48.45100402832031,68.66748046875,100.19689178466797
h36m_sub11_Directions 1_cam58860488,61.118160247802734,90.00878143310547,82.53397369384766,54.202293395996094,3.0850961208343506,511.9953918457031,49.25120544433594,82.53397369384766,115.1680679321289
h36m_sub9_Purchases 1_cam58860488,61.83957290649414,88.68090057373047,75.66352081298828,54.17782211303711,5.853785991668701,388.4030456542969,49.6490478515625,75.66352081298828,114.53480529785156
h36m_sub11_Posing 1_cam60457274,61.8556022644043,97.8031234741211,70.99041748046875,117.44755554199219,3.2126591205596924,1552.0859375,46.52043914794922,70.99041748046875,114.29967498779297
TC_S2_walking2_cam4,62.8896598815918,93.494384765625,77.49286651611328,63.612884521484375,1.7969967126846313,664.0318603515625,50.03724670410156,77.49286651611328,118.22982025146484
h36m_sub11_Posing 1_cam54138969,63.019081115722656,82.81763458251953,68.00957489013672,55.396446228027344,2.3590803146362305,409.4069519042969,43.86412811279297,68.00957489013672,103.90436553955078
h36m_sub11_Purchases_cam58860488,63.090885162353516,97.99024963378906,78.93451690673828,71.36512756347656,5.376028060913086,1000.1039428710938,53.96027374267578,78.93451690673828,118.51052856445312
h36m_sub11_Posing_cam58860488,63.31147003173828,109.99455261230469,88.60078430175781,75.6933364868164,3.3281478881835938,518.9111938476562,58.55291748046875,88.60078430175781,135.64659118652344
h36m_sub11_Posing 1_cam58860488,63.457096099853516,106.24785614013672,88.03470611572266,68.90303802490234,6.62589693069458,599.3267211914062,60.653533935546875,88.03470611572266,131.8809814453125
h36m_sub9_Purchases 1_cam54138969,63.91160202026367,88.91409301757812,72.35671997070312,64.94729614257812,6.316329479217529,572.1610107421875,46.486534118652344,72.35671997070312,114.11259460449219
h36m_sub11_Directions 1_cam55011271,63.918914794921875,94.85428619384766,77.41412353515625,72.02249908447266,7.8062238693237305,1041.3438720703125,49.74784851074219,77.41412353515625,115.78638458251953
h36m_sub9_Posing 1_cam58860488,63.96445083618164,95.56867980957031,80.90635681152344,66.07146453857422,2.1988186836242676,1141.953369140625,48.91317367553711,80.90635681152344,122.18658447265625
h36m_sub11_Walking_cam60457274,64.20124816894531,92.77086639404297,80.02059936523438,59.506717681884766,4.386466026306152,494.4091491699219,51.15601348876953,80.02059936523438,118.71124267578125
h36m_sub9_Discussion 1_cam54138969,64.20330810546875,91.45965576171875,77.36558532714844,64.4758529663086,2.7472143173217773,1184.527099609375,49.842899322509766,77.36558532714844,114.96602630615234
