,Mean Aligned,Mean,Median,Standard Deviation,Min,Max,25%,50%,75%
h36m_sub11_Posing 1_cam60457274,47.912269592285156,83.52595520019531,81.30671691894531,45.17411422729492,10.541584014892578,333.01776123046875,52.586666107177734,81.30671691894531,107.2273178100586
h36m_sub11_Posing_cam58860488,47.92190933227539,95.09951782226562,78.60301971435547,64.5143814086914,2.710883617401123,408.1586608886719,46.89990234375,78.60301971435547,124.05245971679688
h36m_sub11_Posing 1_cam58860488,48.81825256347656,96.42417907714844,75.28084564208984,71.56150817871094,6.7704548835754395,870.04248046875,45.80644989013672,75.28084564208984,125.27536010742188
h36m_sub11_Posing_cam55011271,49.9364013671875,81.67643737792969,72.0383071899414,47.209598541259766,6.907743453979492,335.18023681640625,48.098392486572266,72.0383071899414,100.36643981933594
h36m_sub11_Posing_cam60457274,50.06148910522461,85.76371765136719,83.75017547607422,45.52292251586914,0.7634649276733398,298.81585693359375,53.18088150024414,83.75017547607422,114.4664535522461
h36m_sub11_Purchases_cam55011271,51.46864318847656,78.71056365966797,69.5284194946289,53.87389373779297,2.167555093765259,480.6597900390625,46.80611038208008,69.5284194946289,96.57687377929688
h36m_sub11_Posing 1_cam55011271,51.78205490112305,82.69434356689453,69.63727569580078,53.10393142700195,4.274622917175293,518.5234985351562,49.449485778808594,69.63727569580078,96.74878692626953
h36m_sub11_Directions 1_cam58860488,51.860069274902344,86.6878433227539,72.41289520263672,56.14740753173828,4.922184467315674,475.9577941894531,46.12289810180664,72.41289520263672,110.99362182617188
h36m_sub11_Discussion 1_cam58860488,51.97319412231445,87.75852966308594,71.6754150390625,61.83816909790039,3.8963067531585693,484.2008972167969,42.73463821411133,71.6754150390625,115.33966064453125
h36m_sub11_Purchases_cam58860488,52.1500244140625,89.11394500732422,81.83368682861328,57.304019927978516,5.7589802742004395,381.2608337402344,47.76667022705078,81.83368682861328,115.82037353515625
h36m_sub11_Purchases_cam60457274,52.52181625366211,83.3105697631836,80.77165985107422,52.05181884765625,4.6076765060424805,708.7418823242188,50.287269592285156,80.77165985107422,107.83248901367188
h36m_sub9_Purchases 1_cam58860488,53.16986083984375,83.45767211914062,72.38703918457031,54.410587310791016,6.393826484680176,433.5315246582031,45.80879211425781,72.38703918457031,109.78213500976562
h36m_sub11_Discussion 1_cam55011271,53.62049102783203,77.06138610839844,64.43917846679688,50.035980224609375,4.79179048538208,536.7239990234375,40.45683288574219,64.43917846679688,98.06570434570312
h36m_sub11_Directions_cam58860488,53.79252624511719,87.37122344970703,75.59580993652344,58.36458206176758,4.038257598876953,400.8777160644531,43.30669403076172,75.59580993652344,112.93415832519531
h36m_sub11_Eating_cam58860488,54.71100997924805,84.24134063720703,76.78863525390625,53.23384475708008,2.3468329906463623,404.4429016113281,46.59465789794922,76.78863525390625,110.2687759399414
h36m_sub11_Waiting_cam60457274,55.00542068481445,87.1989974975586,78.83757019042969,55.989601135253906,3.8773696422576904,455.34222412109375,47.946685791015625,78.83757019042969,114.26596069335938
h36m_sub11_Purchases 1_cam58860488,55.12789535522461,85.89038848876953,73.45884704589844,59.700496673583984,5.449634552001953,471.6357421875,44.30874252319336,73.45884704589844,115.68746948242188
h36m_sub11_Purchases 1_cam60457274,55.86210250854492,95.19218444824219,80.29966735839844,100.05892944335938,2.886636257171631,1254.17333984375,46.99469757080078,80.29966735839844,115.68647766113281
