,Mean Aligned,Mean,Median,Standard Deviation,Min,Max,25%,50%,75%
h36m_sub11_Posing 1_cam60457274,46.747039794921875,68.83922576904297,62.2626953125,40.672203063964844,5.6500630378723145,349.77410888671875,40.12665557861328,62.2626953125,87.78492736816406
h36m_sub11_Posing 1_cam55011271,49.7258186340332,83.40845489501953,71.42311096191406,58.93739700317383,2.311401605606079,1301.943115234375,48.9310302734375,71.42311096191406,98.88713073730469
h36m_sub11_Posing_cam55011271,50.40827560424805,85.6767578125,71.27323150634766,66.22393035888672,10.31689167022705,1281.9501953125,47.3143196105957,71.27323150634766,103.90787506103516
h36m_sub11_Posing_cam60457274,50.826927185058594,74.37389373779297,68.86064147949219,41.315303802490234,6.304410934448242,317.5428466796875,45.66424560546875,68.86064147949219,96.61369323730469
h36m_sub11_Purchases_cam60457274,53.008949279785156,91.59870910644531,79.45973205566406,64.17894744873047,3.750295639038086,477.0585021972656,43.837833404541016,79.45973205566406,126.05558013916016
h36m_sub11_Purchases_cam58860488,53.5657958984375,86.2278060913086,79.75071716308594,58.99962615966797,2.085153818130493,498.4817810058594,42.528961181640625,79.75071716308594,109.1612548828125
h36m_sub11_Purchases 1_cam60457274,53.649803161621094,96.96623229980469,83.88176727294922,75.43567657470703,1.8517236709594727,1054.53564453125,43.95741653442383,83.88176727294922,135.1549072265625
h36m_sub11_Discussion 1_cam60457274,54.05887985229492,75.80307006835938,64.72160339355469,55.20689010620117,2.341489315032959,622.4771118164062,37.87529754638672,64.72160339355469,97.21022033691406
h36m_sub11_Discussion 1_cam54138969,54.752769470214844,79.99735260009766,63.01252746582031,56.46961975097656,3.439675807952881,448.69049072265625,41.380577087402344,63.01252746582031,103.43929290771484
h36m_sub11_Discussion 1_cam55011271,54.77045822143555,78.42268371582031,63.870330810546875,53.02901840209961,6.790701389312744,481.136474609375,40.59206008911133,63.870330810546875,99.07888793945312
h36m_sub9_Purchases 1_cam58860488,55.02553939819336,77.67047119140625,64.6572265625,58.13368225097656,5.27009916305542,565.7958984375,37.76026916503906,64.6572265625,98.71414184570312
h36m_sub11_Walking_cam60457274,55.15488052368164,80.99597930908203,66.83525848388672,57.815982818603516,4.726213455200195,491.05126953125,41.066444396972656,66.83525848388672,102.13678741455078
h36m_sub11_Walking 1_cam60457274,55.23358154296875,82.36753845214844,68.74602508544922,59.60298156738281,6.315124034881592,561.4552001953125,42.67158889770508,68.74602508544922,103.52918243408203
h36m_sub11_Purchases 1_cam58860488,56.06105041503906,82.81024169921875,73.11422729492188,57.19819641113281,1.0265803337097168,393.6315002441406,39.810184478759766,73.11422729492188,111.72323608398438
h36m_sub11_Purchases_cam55011271,56.26460647583008,110.58979797363281,85.33940887451172,111.27171325683594,7.335548400878906,1344.476318359375,54.212425231933594,85.33940887451172,136.573974609375
h36m_sub11_Posing 1_cam58860488,56.688621520996094,100.7890396118164,81.56754302978516,75.79853820800781,0.931371808052063,406.5506286621094,42.29412078857422,81.56754302978516,135.1013641357422
h36m_sub11_Waiting_cam60457274,56.876068115234375,79.7990951538086,66.4701156616211,56.093414306640625,1.3757244348526,478.1565246582031,36.594146728515625,66.4701156616211,109.16267395019531
h36m_sub11_Posing_cam54138969,56.89015579223633,83.03472900390625,66.92852783203125,60.475067138671875,1.1089948415756226,408.9161071777344,40.69216537475586,66.92852783203125,108.2599105834961
h36m_sub11_Walking_cam58860488,57.56845474243164,86.87913513183594,69.81461334228516,62.38045883178711,4.547287940979004,490.5481262207031,44.39763641357422,69.81461334228516,110.31997680664062
h36m_sub11_Purchases 1_cam55011271,57.65058898925781,113.0723648071289,88.10641479492188,114.84680938720703,4.260272979736328,1286.382080078125,53.86377716064453,88.10641479492188,134.65469360351562
h36m_sub11_Discussion 1_cam58860488,57.69435119628906,90.82476043701172,66.79630279541016,77.27444458007812,4.761629104614258,581.9286499023438,36.79878616333008,66.79630279541016,119.88497161865234
h36m_sub11_Posing_cam58860488,57.795928955078125,101.45576477050781,77.7076187133789,78.42957305908203,4.975378036499023,526.99169921875,43.34397506713867,77.7076187133789,132.3968048095703
h36m_sub11_Walking 1_cam55011271,57.79640579223633,85.29469299316406,66.85501098632812,75.47234344482422,4.1081438064575195,1336.0545654296875,43.24359893798828,66.85501098632812,102.06572723388672
h36m_sub11_Walking 1_cam54138969,57.862274169921875,80.01028442382812,59.68684387207031,64.01085662841797,7.030139923095703,842.1614379882812,39.97355270385742,59.68684387207031,97.73060607910156
h36m_sub11_Walking 1_cam58860488,58.09482955932617,89.0801010131836,71.73594665527344,64.07933807373047,6.450559139251709,528.0650634765625,45.14847183227539,71.73594665527344,113.45809936523438
h36m_sub11_Walking_cam55011271,58.260440826416016,84.12359619140625,65.45075225830078,71.83728790283203,6.217028617858887,1282.049560546875,41.95586013793945,65.45075225830078,102.40943145751953
h36m_sub11_Purchases_cam54138969,58.469974517822266,100.31645202636719,88.22377014160156,71.48585510253906,5.02125883102417,489.63018798828125,44.93348693847656,88.22377014160156,134.29705810546875
h36m_sub9_Walking_cam58860488,58.63697814941406,84.70991516113281,65.6561279296875,62.05815505981445,6.909296989440918,604.4195556640625,42.022457122802734,65.6561279296875,110.33030700683594
h36m_sub11_Waiting_cam55011271,58.936527252197266,92.07524108886719,73.96757507324219,64.57231140136719,3.187476634979248,952.3019409179688,44.83148193359375,73.96757507324219,122.7020492553711
h36m_sub11_Waiting 1_cam60457274,59.61684036254883,87.55146026611328,76.48582458496094,56.9759521484375,1.9089481830596924,367.3688049316406,47.2421760559082,76.48582458496094,115.7326889038086
h36m_sub9_Walking 1_cam60457274,59.70023727416992,86.57581329345703,70.86923217773438,60.95207214355469,2.9125752449035645,543.7171630859375,42.420169830322266,70.86923217773438,112.2938461303711
h36m_sub9_Walking_cam60457274,60.13588333129883,83.76266479492188,69.27030944824219,57.136783599853516,6.094772815704346,526.398681640625,42.56957244873047,69.27030944824219,109.84629821777344
